exec,volume,volatility,spread,news,ml,tail_risk,IC,top_win_rate,bot_win_rate,spread_q4_q1,label,combined
0.02334378130750052,0.203713398717557,0.03866830553349385,0.13424706606541478,0.29427937551138605,0.03765284235655915,0.26809523050808853,0.0125,0.4874,0.4732,-0.000373,,0.7662815126050421
0.13885815356067666,0.06246817027172114,0.00503842446007638,0.2351106699435888,0.08096204225445743,0.2574266799155544,0.22013585959392523,0.0047,0.4766,0.4676,-0.000373,,0.21355042016806794
0.009095247746988496,0.001816853002349851,0.3207781931333647,0.014822900193333903,0.1014442029528294,0.33527643400862434,0.21676616896250941,0.0042,0.4761,0.4672,-0.000304,,0.1821253501400567
0.03230415565402599,0.5897698761667133,0.0226123036613422,0.054480717118061774,0.041562054004585985,0.004902964804055827,0.2543679285912148,0.0123,0.4893,0.47,-0.000102,,0.7974614845938378
0.004257898873978976,0.023166608369411992,0.33850713623623135,0.40228973568853177,0.15590750213927718,0.009651454089542814,0.06621966460302595,0.009,0.4758,0.4692,0.000194,,0.3775560224089638
0.4417862265584966,0.20780675932262754,0.0022320532526597034,0.0711118359985677,0.2495346151463012,0.019737295619218862,0.00779121410212847,0.0039,0.492,0.4684,-0.000535,,0.5007703081232491
0.6049237651837462,0.15744036937401276,0.005317913979372267,0.01608859809260601,0.1965495200639711,0.019043468543560767,0.0006363647627310081,0.0035,0.492,0.4616,-0.00013,,0.48396358543417345
0.36964483030943945,0.3392947494556309,0.08216395020331668,0.0006666850619664364,0.14473164525523474,0.02350535819680205,0.03999278151760967,0.0064,0.4924,0.4544,0.000281,,0.6141456582633054
0.03462634222802269,0.5573127960262239,0.06640853504783899,0.012015979880356843,0.11480437166476098,0.18692165116062004,0.027910323992176713,0.0111,0.487,0.4684,-5.7e-05,,0.6991246498599437
0.025425371730486566,0.19786369645106647,0.41353945557749805,0.2249799962044787,0.0823127138982612,0.05456006663666235,0.0013186995015467874,0.0104,0.4788,0.4748,-0.000196,,0.4988795518207285
0.018913929838168805,0.04277109265302054,0.11960334391587515,0.05743956758018394,0.36011043825416367,0.08513536506959243,0.31602626268899553,0.009,0.479,0.466,5.9e-05,,0.44422268907563
0.14068600812294602,0.49822058351442533,0.006628765330742,0.001533321115927878,0.054248775964754116,0.0004712786064067307,0.2982112673447982,0.0108,0.4879,0.468,0.000489,,0.7052696078431373
0.2196882876576435,0.17740341006217764,0.03591947252381053,0.46397651530939754,0.052025330134744564,0.028562437748020246,0.022424546564205873,0.0059,0.477,0.4704,-0.000391,,0.27230392156862726
0.47768944495496973,0.10396853948062353,0.14673414982112226,6.545133078289141e-05,0.0021573652307651007,0.21756451073151936,0.05182053845021725,0.0032,0.4912,0.4604,-5.1e-05,,0.4546918767507007
0.24310220407656985,0.0176916449313209,0.22086189895656924,0.024572625614456486,0.44514510123475276,0.04378710884051745,0.004839416345813311,0.0027,0.4856,0.4684,-0.000788,,0.3170168067226886
0.01736508097034382,0.13566244628063812,0.043542965868981064,0.042923592067995085,0.25692656070239867,0.0004969358063119006,0.5030824183033313,0.0123,0.4864,0.4684,2.8e-05,,0.7370448179271709
0.0005453485758784992,0.2850077352552936,0.11350270124450443,0.13339972382550935,0.08539747262446468,0.3502087699747255,0.03193824849962402,0.0129,0.4881,0.4752,-4.7e-05,,0.7976715686274506
0.08145412576957807,0.2280994278116745,0.4422851602159756,0.06718573858257637,0.05286116986018021,0.11667725337770385,0.011437124382311406,0.0119,0.488,0.4724,1.9e-05,,0.7535714285714284
0.18899931005772377,0.0520061068908292,0.06920510705175373,0.17465586464971103,0.4281237450732774,0.08589308129684313,0.0011167849798616718,0.0053,0.4786,0.4676,-0.000596,,0.28042717086834806
0.02456303063914543,0.08656715252508138,0.2964813155004625,0.013523614248370376,0.15308143971875415,0.12206274318874512,0.303720704179441,0.0122,0.4848,0.4672,0.000223,,0.6995098039215689
0.27323754879792184,0.2859663343875901,0.058056562405453316,0.050146666937883,0.022868135220800802,0.2838291692320077,0.025895583018343268,0.0083,0.4912,0.4652,-0.000181,,0.6689775910364151
0.02752926138520935,0.48947019715683693,0.11555886208590171,0.03127715084836602,0.18254954723956127,0.03643269021606843,0.11718229106805596,0.0123,0.4887,0.47,-0.000118,,0.784961484593838
0.0578295759201857,0.055330690438858306,0.18327044747960464,0.0784362941712059,0.253781874940498,0.06824255582488473,0.3031085612247629,0.0063,0.4767,0.4732,-0.000635,,0.2828606442577035
0.11213491490889287,0.10807472733111878,0.05665726851392491,0.07067647127245645,0.024693262684396925,0.5376465306438462,0.09011682464536401,0.0083,0.4912,0.4752,-0.000484,,0.6689775910364151
0.04012708801406406,0.04562741751960023,0.19571767405471652,0.09452260016624234,0.008131376836836481,0.40158822512771386,0.21428561828082657,0.0075,0.4771,0.47,-3.1e-05,,0.341614145658264
0.002211326158725713,0.024602046732109327,0.14196226925063865,0.01771657771420709,0.26748127624922535,0.019941877513805766,0.5260846263812881,0.012,0.4873,0.4744,-0.000105,,0.7431897759103644
0.028017287076790662,0.09708935564217751,0.2368544444212823,0.12470476297065396,0.5079890434729134,9.347778879887518e-06,0.005335758637302254,0.0103,0.4796,0.4704,2e-06,,0.5113445378151268
0.0423703645448009,0.22377720103211157,0.02861616110455182,0.006836869816697947,0.6446507565889612,0.050100794972136,0.0036478519407405706,0.0108,0.4883,0.4676,4e-05,,0.7136029411764708
0.1927198655133476,0.6005671688105333,0.026344814592748615,0.07340867626025438,0.019506483032854474,0.025838652047046027,0.061614339743215445,0.0111,0.4864,0.4688,0.000218,,0.686624649859944
