ema_fast,ema_slow,sl,rr,adx,score,pf,ret,dd,wr,n_trades,wf_score,stability
12,48,1.5,2.0,28,0.65,0.6916221405830992,-15447.101125797522,20982.74453517323,0.42,100,0.44695171964795705,0.9909499134713056
12,48,1.5,2.0,25,0.55,0.6661945042197154,-17359.016857037568,22914.200266413274,0.42,100,0.44268406923162185,0.9909499134713056
12,48,1.5,2.0,25,0.6,0.6661945042197154,-17359.016857037568,22914.200266413274,0.42,100,0.44268406923162185,0.9909499134713056
12,48,1.5,2.0,25,0.65,0.6661945042197154,-17359.016857037568,22914.200266413274,0.42,100,0.44268406923162185,0.9909499134713056
12,48,2.0,2.5,25,0.55,0.6309667361430464,-20892.24621028199,27047.003888640786,0.4368932038834951,103,0.43726360102976786,0.9909499134713056
12,48,2.0,2.5,25,0.6,0.6309667361430464,-20892.24621028199,27047.003888640786,0.4368932038834951,103,0.43726360102976786,0.9909499134713056
12,48,2.0,2.5,25,0.65,0.6309667361430464,-20892.24621028199,27047.003888640786,0.4368932038834951,103,0.43726360102976786,0.9909499134713056
10,40,2.0,2.5,28,0.55,0.6834240080588239,-16954.21582190795,21263.323341646872,0.42857142857142855,105,0.43665428805738277,0.9909499134713056
10,40,2.0,2.5,28,0.6,0.6834240080588239,-16954.21582190795,21263.323341646872,0.42857142857142855,105,0.43665428805738277,0.9909499134713056
10,40,2.0,2.5,28,0.65,0.6834240080588239,-16954.21582190795,21263.323341646872,0.42857142857142855,105,0.43665428805738277,0.9909499134713056
12,48,2.0,2.5,28,0.55,0.6453413721290773,-19631.211709821953,26184.98839135433,0.4368932038834951,103,0.4357050773375232,0.9909499134713056
12,48,2.0,2.5,28,0.6,0.6453413721290773,-19631.211709821953,26184.98839135433,0.4368932038834951,103,0.4357050773375232,0.9909499134713056
12,48,2.0,2.5,28,0.65,0.6453413721290773,-19631.211709821953,26184.98839135433,0.4368932038834951,103,0.4357050773375232,0.9909499134713056
10,40,2.0,2.5,25,0.6,0.6677019327950504,-18215.25032236799,22534.127842106915,0.42857142857142855,105,0.4346351482022029,0.9909499134713056
10,40,2.0,2.5,25,0.65,0.6677019327950504,-18215.25032236799,22534.127842106915,0.42857142857142855,105,0.4346351482022029,0.9909499134713056
10,40,2.0,2.5,25,0.55,0.6677019327950504,-18215.25032236799,22534.127842106915,0.42857142857142855,105,0.4346351482022029,0.9909499134713056
8,32,1.5,2.5,25,0.55,0.7356448984638743,-14635.51561053204,21883.669768890948,0.40860215053763443,93,0.4343312858055126,0.9909499134713056
8,32,1.5,2.5,25,0.65,0.7356448984638743,-14635.51561053204,21883.669768890948,0.40860215053763443,93,0.4343312858055126,0.9909499134713056
8,32,1.5,2.5,25,0.6,0.7356448984638743,-14635.51561053204,21883.669768890948,0.40860215053763443,93,0.4343312858055126,0.9909499134713056
12,48,2.0,2.0,28,0.55,0.7414219654319921,-12198.047178232975,18466.441438783368,0.46017699115044247,113,0.4310355551834615,0.9909499134713056
12,48,2.0,2.0,28,0.6,0.7414219654319921,-12198.047178232975,18466.441438783368,0.46017699115044247,113,0.4310355551834615,0.9909499134713056
12,48,2.0,2.0,28,0.65,0.7414219654319921,-12198.047178232975,18466.441438783368,0.46017699115044247,113,0.4310355551834615,0.9909499134713056
8,32,1.5,2.5,28,0.55,0.7619584648195534,-12723.599879291995,19952.214037650905,0.40860215053763443,93,0.43093813913084167,0.9909499134713056
8,32,1.5,2.5,28,0.6,0.7619584648195534,-12723.599879291995,19952.214037650905,0.40860215053763443,93,0.43093813913084167,0.9909499134713056
8,32,1.5,2.5,28,0.65,0.7619584648195534,-12723.599879291995,19952.214037650905,0.40860215053763443,93,0.43093813913084167,0.9909499134713056
12,48,2.0,2.0,25,0.55,0.7221184359718466,-13459.081678693014,19008.123382501246,0.46017699115044247,113,0.43083804126549874,0.9909499134713056
12,48,2.0,2.0,25,0.6,0.7221184359718466,-13459.081678693014,19008.123382501246,0.46017699115044247,113,0.43083804126549874,0.9909499134713056
12,48,2.0,2.0,25,0.65,0.7221184359718466,-13459.081678693014,19008.123382501246,0.46017699115044247,113,0.43083804126549874,0.9909499134713056
15,60,1.5,5.0,25,0.55,0.8367386199565212,-11581.02020844169,20732.689472749247,0.3411764705882353,85,0.41563092003639357,0.9909499134713056
15,60,1.5,5.0,25,0.6,0.8367386199565212,-11581.02020844169,20732.689472749247,0.3411764705882353,85,0.41563092003639357,0.9909499134713056
15,60,1.5,5.0,25,0.65,0.8367386199565212,-11581.02020844169,20732.689472749247,0.3411764705882353,85,0.41563092003639357,0.9909499134713056
15,60,1.5,5.0,28,0.55,0.8367386199565212,-11581.02020844169,20732.689472749247,0.3411764705882353,85,0.41563092003639357,0.9909499134713056
15,60,1.5,5.0,28,0.6,0.8367386199565212,-11581.02020844169,20732.689472749247,0.3411764705882353,85,0.41563092003639357,0.9909499134713056
15,60,1.5,5.0,28,0.65,0.8367386199565212,-11581.02020844169,20732.689472749247,0.3411764705882353,85,0.41563092003639357,0.9909499134713056
15,60,2.0,2.5,25,0.55,0.7381751013755976,-13563.616449782365,19770.754082771717,0.4537037037037037,108,0.4137891905913892,0.9909499134713056
15,60,2.0,2.5,25,0.6,0.7381751013755976,-13563.616449782365,19770.754082771717,0.4537037037037037,108,0.4137891905913892,0.9909499134713056
15,60,2.0,2.5,25,0.65,0.7381751013755976,-13563.616449782365,19770.754082771717,0.4537037037037037,108,0.4137891905913892,0.9909499134713056
10,40,1.5,2.5,25,0.55,0.8971293589641589,-4948.821373833696,13563.756286699849,0.41237113402061853,97,0.4120051697959867,0.9909499134713056
10,40,1.5,2.5,25,0.6,0.8971293589641589,-4948.821373833696,13563.756286699849,0.41237113402061853,97,0.4120051697959867,0.9909499134713056
10,40,1.5,2.5,25,0.65,0.8971293589641589,-4948.821373833696,13563.756286699849,0.41237113402061853,97,0.4120051697959867,0.9909499134713056
10,40,1.5,2.5,28,0.55,0.8971293589641589,-4948.821373833696,13563.756286699849,0.41237113402061853,97,0.4120051697959867,0.9909499134713056
10,40,1.5,2.5,28,0.65,0.8971293589641589,-4948.821373833696,13563.756286699849,0.41237113402061853,97,0.4120051697959867,0.9909499134713056
10,40,1.5,2.5,28,0.6,0.8971293589641589,-4948.821373833696,13563.756286699849,0.41237113402061853,97,0.4120051697959867,0.9909499134713056
8,32,2.0,2.5,25,0.6,0.648114612813563,-19511.257126528355,25263.90361962485,0.45098039215686275,102,0.40385820872416683,0.9909499134713056
8,32,2.0,2.5,25,0.65,0.648114612813563,-19511.257126528355,25263.90361962485,0.45098039215686275,102,0.40385820872416683,0.9909499134713056
8,32,2.0,2.5,25,0.55,0.648114612813563,-19511.257126528355,25263.90361962485,0.45098039215686275,102,0.40385820872416683,0.9909499134713056
10,40,2.0,2.0,28,0.55,0.6017476714457417,-20519.409225716412,24208.54907488363,0.44144144144144143,111,0.40243641893677806,0.9909499134713056
10,40,2.0,2.0,28,0.6,0.6017476714457417,-20519.409225716412,24208.54907488363,0.44144144144144143,111,0.40243641893677806,0.9909499134713056
10,40,2.0,2.0,28,0.65,0.6017476714457417,-20519.409225716412,24208.54907488363,0.44144144144144143,111,0.40243641893677806,0.9909499134713056
15,60,2.0,2.5,28,0.55,0.7565923329220069,-12302.581949322326,19770.754082771717,0.4537037037037037,108,0.3998263069269339,0.9909499134713056
15,60,2.0,2.5,28,0.6,0.7565923329220069,-12302.581949322326,19770.754082771717,0.4537037037037037,108,0.3998263069269339,0.9909499134713056
15,60,2.0,2.5,28,0.65,0.7565923329220069,-12302.581949322326,19770.754082771717,0.4537037037037037,108,0.3998263069269339,0.9909499134713056
10,40,2.0,2.0,25,0.55,0.5873718209709902,-21780.44372617645,25479.353575343674,0.44144144144144143,111,0.3989762228709919,0.9909499134713056
10,40,2.0,2.0,25,0.6,0.5873718209709902,-21780.44372617645,25479.353575343674,0.44144144144144143,111,0.3989762228709919,0.9909499134713056
10,40,2.0,2.0,25,0.65,0.5873718209709902,-21780.44372617645,25479.353575343674,0.44144144144144143,111,0.3989762228709919,0.9909499134713056
8,32,2.0,2.0,25,0.55,0.6296404255627083,-19826.649578562105,25145.029351044563,0.45871559633027525,109,0.3959317209662603,0.9909499134713056
8,32,2.0,2.0,25,0.65,0.6296404255627083,-19826.649578562105,25145.029351044563,0.45871559633027525,109,0.3959317209662603,0.9909499134713056
8,32,2.0,2.0,25,0.6,0.6296404255627083,-19826.649578562105,25145.029351044563,0.45871559633027525,109,0.3959317209662603,0.9909499134713056
8,32,2.0,2.5,28,0.55,0.6631975478397832,-18250.222626068316,25263.90361962485,0.45098039215686275,102,0.3911881945867427,0.9909499134713056
8,32,2.0,2.5,28,0.65,0.6631975478397832,-18250.222626068316,25263.90361962485,0.45098039215686275,102,0.3911881945867427,0.9909499134713056
8,32,2.0,2.5,28,0.6,0.6631975478397832,-18250.222626068316,25263.90361962485,0.45098039215686275,102,0.3911881945867427,0.9909499134713056
8,32,2.0,2.0,28,0.55,0.6448300301574823,-18565.615078102062,25145.029351044563,0.45871559633027525,109,0.38464455152243243,0.9909499134713056
8,32,2.0,2.0,28,0.6,0.6448300301574823,-18565.615078102062,25145.029351044563,0.45871559633027525,109,0.38464455152243243,0.9909499134713056
8,32,2.0,2.0,28,0.65,0.6448300301574823,-18565.615078102062,25145.029351044563,0.45871559633027525,109,0.38464455152243243,0.9909499134713056
10,40,1.5,5.0,28,0.55,1.0277873110051883,1757.2748098321972,13510.290045683098,0.36470588235294116,85,0.3620937363564632,0.9909499134713056
10,40,1.5,5.0,25,0.65,1.0277873110051883,1757.2748098321972,13510.290045683098,0.36470588235294116,85,0.3620937363564632,0.9909499134713056
10,40,1.5,5.0,25,0.6,1.0277873110051883,1757.2748098321972,13510.290045683098,0.36470588235294116,85,0.3620937363564632,0.9909499134713056
10,40,1.5,5.0,28,0.65,1.0277873110051883,1757.2748098321972,13510.290045683098,0.36470588235294116,85,0.3620937363564632,0.9909499134713056
10,40,1.5,5.0,25,0.55,1.0277873110051883,1757.2748098321972,13510.290045683098,0.36470588235294116,85,0.3620937363564632,0.9909499134713056
10,40,1.5,5.0,28,0.6,1.0277873110051883,1757.2748098321972,13510.290045683098,0.36470588235294116,85,0.3620937363564632,0.9909499134713056
10,40,2.0,5.0,25,0.55,0.8562590686500804,-9532.98366947514,25123.13974241214,0.38461538461538464,91,0.3583659055402373,0.9909499134713056
