ema_fast,ema_slow,sl,rr,adx,score,pf,ret,dd,wr,n_trades,wf_score,stability
15,60,2.0,2.5,25,0.6,1.5662389290547487,5472.800306850151,2829.110013027792,0.5555555555555556,171,6.01299943784553,1.0
15,60,2.0,2.5,25,0.65,1.5662389290547487,5472.800306850151,2829.110013027792,0.5555555555555556,171,6.01299943784553,1.0
30,120,1.0,2.5,25,0.55,1.5280076081054277,14252.328782737379,7216.717242899991,0.5256410256410257,156,5.88264400918251,1.0
30,120,1.0,2.5,25,0.6,1.5280076081054277,14252.328782737379,7216.717242899991,0.5256410256410257,156,5.88264400918251,1.0
30,120,1.0,2.5,25,0.65,1.5280076081054277,14252.328782737379,7216.717242899991,0.5256410256410257,156,5.88264400918251,1.0
10,40,2.0,2.5,25,0.55,1.707539729109727,6789.47130424181,4416.332077408442,0.5647058823529412,170,5.203737407308897,1.0
10,40,2.0,2.5,25,0.6,1.707539729109727,6789.47130424181,4416.332077408442,0.5647058823529412,170,5.203737407308897,1.0
10,40,2.0,2.5,25,0.65,1.707539729109727,6789.47130424181,4416.332077408442,0.5647058823529412,170,5.203737407308897,1.0
20,80,1.5,2.5,25,0.55,1.791123846820268,10403.077158951317,3083.871703402605,0.5892857142857143,168,4.978951139829154,1.0
20,80,1.5,2.5,25,0.6,1.791123846820268,10403.077158951317,3083.871703402605,0.5892857142857143,168,4.978951139829154,1.0
20,80,1.5,2.5,25,0.65,1.791123846820268,10403.077158951317,3083.871703402605,0.5892857142857143,168,4.978951139829154,1.0
10,40,2.0,2.0,25,0.6,1.8018666166421602,6549.045534736326,4448.560362736287,0.5941176470588235,170,4.381978433274902,1.0
10,40,2.0,2.0,25,0.55,1.8018666166421602,6549.045534736326,4448.560362736287,0.5941176470588235,170,4.381978433274902,1.0
10,40,2.0,2.0,25,0.65,1.8018666166421602,6549.045534736326,4448.560362736287,0.5941176470588235,170,4.381978433274902,1.0
20,80,1.5,2.0,25,0.6,1.7561515400519934,9320.226943410707,3441.0094996728585,0.5872093023255814,172,3.9379097644147736,1.0
20,80,1.5,2.0,25,0.55,1.7561515400519934,9320.226943410707,3441.0094996728585,0.5872093023255814,172,3.9379097644147736,1.0
20,80,1.5,2.0,25,0.65,1.7561515400519934,9320.226943410707,3441.0094996728585,0.5872093023255814,172,3.9379097644147736,1.0
30,120,1.5,2.5,25,0.55,1.5022425463715345,8310.05688071343,5612.805095315853,0.5752688172043011,186,3.740818257744594,1.0
30,120,1.5,2.5,25,0.65,1.5022425463715345,8310.05688071343,5612.805095315853,0.5752688172043011,186,3.740818257744594,1.0
30,120,1.5,2.5,25,0.6,1.5022425463715345,8310.05688071343,5612.805095315853,0.5752688172043011,186,3.740818257744594,1.0
20,80,2.0,2.5,25,0.55,1.4254561774408245,4562.009841315187,3791.342092147679,0.5433526011560693,173,2.8432120562578382,1.0
20,80,2.0,2.5,25,0.6,1.4254561774408245,4562.009841315187,3791.342092147679,0.5433526011560693,173,2.8432120562578382,1.0
20,80,2.0,2.5,25,0.65,1.4254561774408245,4562.009841315187,3791.342092147679,0.5433526011560693,173,2.8432120562578382,1.0
30,120,1.5,2.0,25,0.55,1.3346338080729234,5271.9137126885435,5599.433844744519,0.5654450261780105,191,2.549850286989122,1.0
30,120,1.5,2.0,25,0.6,1.3346338080729234,5271.9137126885435,5599.433844744519,0.5654450261780105,191,2.549850286989122,1.0
30,120,1.5,2.0,25,0.65,1.3346338080729234,5271.9137126885435,5599.433844744519,0.5654450261780105,191,2.549850286989122,1.0
20,80,2.0,2.0,25,0.6,1.3973512759980538,3987.5323179693746,4019.145307008177,0.56353591160221,181,2.3189387631545455,1.0
20,80,2.0,2.0,25,0.65,1.3973512759980538,3987.5323179693746,4019.145307008177,0.56353591160221,181,2.3189387631545455,1.0
20,80,2.0,2.0,25,0.55,1.3973512759980538,3987.5323179693746,4019.145307008177,0.56353591160221,181,2.3189387631545455,1.0
30,120,2.0,2.5,25,0.55,1.1083969345304951,1670.2799651513296,7100.7059212198365,0.5243243243243243,185,0.5256450700764328,1.0
30,120,2.0,2.5,25,0.65,1.1083969345304951,1670.2799651513296,7100.7059212198365,0.5243243243243243,185,0.5256450700764328,1.0
30,120,2.0,2.5,25,0.6,1.1083969345304951,1670.2799651513296,7100.7059212198365,0.5243243243243243,185,0.5256450700764328,1.0
30,120,2.0,2.0,25,0.6,1.1038216617289776,1451.4565244930986,6610.656485546962,0.5396825396825397,189,0.4907430220517441,1.0
30,120,2.0,2.0,25,0.55,1.1038216617289776,1451.4565244930986,6610.656485546962,0.5396825396825397,189,0.4907430220517441,1.0
30,120,2.0,2.0,25,0.65,1.1038216617289776,1451.4565244930986,6610.656485546962,0.5396825396825397,189,0.4907430220517441,1.0
